paper,experiment_id,method,method_role,repeat,hypervolume_proxy,constraint_violation_rate,investment_cost_index,loss_index,voltage_risk,hosting_capacity,der_readiness,flexibility_ratio,subnet_coverage,kind_diversity,reliability_proxy,survivability_rate,expected_loss_index,portfolio_size,runtime_s,source_status
p4,deterministic_vs_scenario,SHIELD-MOEA,proposed,1,0.80131149,0.01579032,0.95086230,0.12410676,0.17579032,0.00000000,0.32258065,0.00000000,1.00000000,0.25000000,1.00000000,1.00000000,0.12410676,12,0.00031600,public_simbench_planning_v1
p4,deterministic_vs_scenario,SHIELD-MOEA,proposed,2,0.80131149,0.01579032,0.95086230,0.12410676,0.17579032,0.00000000,0.32258065,0.00000000,1.00000000,0.25000000,1.00000000,1.00000000,0.12410676,12,0.00027700,public_simbench_planning_v1
p4,deterministic_vs_scenario,SHIELD-MOEA,proposed,3,0.80131149,0.01579032,0.95086230,0.12410676,0.17579032,0.00000000,0.32258065,0.00000000,1.00000000,0.25000000,1.00000000,1.00000000,0.12410676,12,0.00029080,public_simbench_planning_v1
p4,deterministic_vs_scenario,NSGA-II,baseline,1,0.79372408,0.02172812,0.95607897,0.12204530,0.18172812,0.00065718,0.58064516,0.20000000,1.00000000,0.50000000,1.00000000,1.00000000,0.12204530,10,0.00007200,public_simbench_planning_v1
p4,deterministic_vs_scenario,NSGA-II,baseline,2,0.79372408,0.02172812,0.95607897,0.12204530,0.18172812,0.00065718,0.58064516,0.20000000,1.00000000,0.50000000,1.00000000,1.00000000,0.12204530,10,0.00008310,public_simbench_planning_v1
p4,deterministic_vs_scenario,NSGA-II,baseline,3,0.79363417,0.02084367,0.87449543,0.12333102,0.18084367,0.00033015,0.45161290,0.10000000,1.00000000,0.50000000,1.00000000,1.00000000,0.12333102,10,0.00007190,public_simbench_planning_v1
p4,deterministic_vs_scenario,MOEA/D,baseline,1,0.79353087,0.01995922,0.79238525,0.12462400,0.17995922,0.00000000,0.32258065,0.00000000,1.00000000,0.25000000,1.00000000,1.00000000,0.12462400,10,0.00007830,public_simbench_planning_v1
p4,deterministic_vs_scenario,MOEA/D,baseline,2,0.79362310,0.02084367,0.87396879,0.12333828,0.18084367,0.00032703,0.45161290,0.10000000,1.00000000,0.50000000,1.00000000,1.00000000,0.12333828,10,0.00006890,public_simbench_planning_v1
p4,deterministic_vs_scenario,MOEA/D,baseline,3,0.79362310,0.02084367,0.87396879,0.12333828,0.18084367,0.00032703,0.45161290,0.10000000,1.00000000,0.50000000,1.00000000,1.00000000,0.12333828,10,0.00006880,public_simbench_planning_v1
p4,deterministic_vs_scenario,GA,baseline,1,0.72805311,0.02517451,0.71066521,0.12387380,0.18517451,0.00032786,0.60483871,0.25000000,1.00000000,0.75000000,0.86602301,0.96755587,0.12507950,8,0.00012510,public_simbench_planning_v1
p4,deterministic_vs_scenario,GA,baseline,2,0.76369003,0.02381257,0.87684044,0.12230392,0.18381257,0.00065718,0.60931900,0.22222222,1.00000000,0.50000000,0.93208472,1.00000000,0.12230392,9,0.00010670,public_simbench_planning_v1
p4,deterministic_vs_scenario,GA,baseline,3,0.78976851,0.02292812,0.79525690,0.12358964,0.18292812,0.00033015,0.46594982,0.11111111,1.00000000,0.50000000,1.00000000,1.00000000,0.12358964,9,0.00010490,public_simbench_planning_v1
p4,deterministic_vs_scenario,Weighted Sum,baseline,1,0.45465591,0.03240373,0.43017204,0.12599887,0.19240373,0.00000722,1.00000000,1.00000000,1.00000000,0.25000000,0.40454356,0.50908782,0.14455519,7,0.00007440,public_simbench_planning_v1
p4,deterministic_vs_scenario,Weighted Sum,baseline,2,0.45465591,0.03240373,0.43017204,0.12599887,0.19240373,0.00000722,1.00000000,1.00000000,1.00000000,0.25000000,0.40454356,0.50908782,0.14455519,7,0.00008320,public_simbench_planning_v1
p4,deterministic_vs_scenario,Weighted Sum,baseline,3,0.45465591,0.03240373,0.43017204,0.12599887,0.19240373,0.00000722,1.00000000,1.00000000,1.00000000,0.25000000,0.40454356,0.50908782,0.14455519,7,0.00008290,public_simbench_planning_v1
p4,deterministic_vs_scenario,Deterministic Planning,baseline,1,0.45465591,0.03240373,0.43017204,0.12599887,0.19240373,0.00000722,1.00000000,1.00000000,1.00000000,0.25000000,0.40454356,0.50908782,0.14455519,7,0.00007310,public_simbench_planning_v1
p4,deterministic_vs_scenario,Deterministic Planning,baseline,2,0.45465591,0.03240373,0.43017204,0.12599887,0.19240373,0.00000722,1.00000000,1.00000000,1.00000000,0.25000000,0.40454356,0.50908782,0.14455519,7,0.00007170,public_simbench_planning_v1
p4,deterministic_vs_scenario,Deterministic Planning,baseline,3,0.45465591,0.03240373,0.43017204,0.12599887,0.19240373,0.00000722,1.00000000,1.00000000,1.00000000,0.25000000,0.40454356,0.50908782,0.14455519,7,0.00007090,public_simbench_planning_v1
p4,deterministic_vs_scenario,Ablation-NoScenarioScreen,ablation,1,0.78976851,0.02292812,0.79525690,0.12358964,0.18292812,0.00033015,0.46594982,0.11111111,1.00000000,0.50000000,1.00000000,1.00000000,0.12358964,9,0.00007080,public_simbench_planning_v1
p4,deterministic_vs_scenario,Ablation-NoScenarioScreen,ablation,2,0.78975749,0.02292812,0.79473027,0.12359691,0.18292812,0.00032703,0.46594982,0.11111111,1.00000000,0.50000000,1.00000000,1.00000000,0.12359691,9,0.00006980,public_simbench_planning_v1
